Symbol,Name,Sector,Market Cap
HLMA.L,Stock FTSE 100,Unknown,500000000
HIK.L,Stock FTSE 100,Unknown,500000000
HSX.L,Stock FTSE 100,Unknown,500000000
HWDN.L,Stock FTSE 100,Unknown,500000000
HSBA.L,Stock FTSE 100,Unknown,500000000
ICG.L,Stock FTSE 100,Unknown,500000000
IHG.L,Stock FTSE 100,Unknown,500000000
IMI.L,Stock FTSE 100,Unknown,500000000
IMB.L,Stock FTSE 100,Unknown,500000000
INF.L,Stock FTSE 100,Unknown,500000000
IAG.L,Stock FTSE 100,Unknown,500000000
ITRK.L,Stock FTSE 100,Unknown,500000000
JD.L,Stock FTSE 100,Unknown,500000000
KGF.L,Stock FTSE 100,Unknown,500000000
LAND.L,Stock FTSE 100,Unknown,500000000
LGEN.L,Stock FTSE 100,Unknown,500000000
LLOY.L,Stock FTSE 100,Unknown,500000000
LMP.L,Stock FTSE 100,Unknown,500000000
LSEG.L,Stock FTSE 100,Unknown,500000000
MNG.L,Stock FTSE 100,Unknown,500000000
MKS.L,Stock FTSE 100,Unknown,500000000
MRO.L,Stock FTSE 100,Unknown,500000000
MTLN.L,Stock FTSE 100,Unknown,500000000
MNDI.L,Stock FTSE 100,Unknown,500000000
NG.L,Stock FTSE 100,Unknown,500000000
NWG.L,Stock FTSE 100,Unknown,500000000
NXT.L,Stock FTSE 100,Unknown,500000000
PSON.L,Stock FTSE 100,Unknown,500000000
PSH.L,Stock FTSE 100,Unknown,500000000
PSN.L,Stock FTSE 100,Unknown,500000000
PHNX.L,Stock FTSE 100,Unknown,500000000
PCT.L,Stock FTSE 100,Unknown,500000000
PRU.L,Stock FTSE 100,Unknown,500000000
RKT.L,Stock FTSE 100,Unknown,500000000
REL.L,Stock FTSE 100,Unknown,500000000
RTO.L,Stock FTSE 100,Unknown,500000000
RMV.L,Stock FTSE 100,Unknown,500000000
RIO.L,Stock FTSE 100,Unknown,500000000
RR.L,Stock FTSE 100,Unknown,500000000
SGE.L,Stock FTSE 100,Unknown,500000000
SBRY.L,Stock FTSE 100,Unknown,500000000
SDR.L,Stock FTSE 100,Unknown,500000000
SMT.L,Stock FTSE 100,Unknown,500000000
SGRO.L,Stock FTSE 100,Unknown,500000000
SVT.L,Stock FTSE 100,Unknown,500000000
SHEL.L,Stock FTSE 100,Unknown,500000000
SMIN.L,Stock FTSE 100,Unknown,500000000
SN.L,Stock FTSE 100,Unknown,500000000
SPX.L,Stock FTSE 100,Unknown,500000000
SSE.L,Stock FTSE 100,Unknown,500000000
STAN.L,Stock FTSE 100,Unknown,500000000
STJ.L,Stock FTSE 100,Unknown,500000000
TSCO.L,Stock FTSE 100,Unknown,500000000
ULVR.L,Stock FTSE 100,Unknown,500000000
UU.L,Stock FTSE 100,Unknown,500000000
VOD.L,Stock FTSE 100,Unknown,500000000
WEIR.L,Stock FTSE 100,Unknown,500000000
WTB.L,Stock FTSE 100,Unknown,500000000
3IN.L,Stock FTSE 250,Unknown,500000000
FOUR.L,Stock FTSE 250,Unknown,500000000
AAS.L,Stock FTSE 250,Unknown,500000000
ABDN.L,Stock FTSE 250,Unknown,500000000
ASL.L,Stock FTSE 250,Unknown,500000000
AEP.L,Stock FTSE 250,Unknown,500000000
